dataset,mode,operation,backend,median_seconds,min_seconds,max_seconds,repeats
small,filtered,mean,joblib-pandas,0.013703907000035542,0.013428662000023905,0.014409123000064028,3
small,filtered,mean,pandas,0.004383307000011882,0.003906202000052872,0.0071485450000636774,3
small,filtered,mean_product,dask,0.01439383000001726,0.014226833000066108,0.016062543999964873,3
small,filtered,mean_product,joblib-pandas,0.013423930000044493,0.013346781000109331,0.014648835999992116,3
small,filtered,mean_product,pandas,0.004335571000069649,0.0039625749999459,0.005164960000001884,3
small,filtered,mean_sum,dask,0.018729951999944205,0.015145699999948192,0.01944976400000087,3
small,filtered,mean_sum,joblib-pandas,0.013267092999967645,0.013014296000051218,0.014667843999973229,3
small,filtered,mean_sum,pandas,0.0035485740000922306,0.0034123740000495673,0.004448192000040763,3
small,filtered,product_columns,dask,0.011920469000074263,0.011509490999969785,0.01225187799991545,3
small,filtered,product_columns,joblib-pandas,0.013043794000054731,0.012929555000027904,0.013978574000020672,3
small,filtered,product_columns,pandas,0.004366261000086524,0.004193446000044787,0.00504848800005675,3
small,filtered,std,dask,0.014869451999970806,0.013714196000023549,0.019285131000060574,3
small,filtered,std,joblib-pandas,0.013010975999918628,0.012989943999969,0.013198751999993874,3
small,filtered,std,pandas,0.003737073000024793,0.003705055000068569,0.0038009769999689524,3
small,filtered,sum_columns,dask,0.012608715000055781,0.012207321999994747,0.013241377999975157,3
small,filtered,sum_columns,joblib-pandas,0.014400018999936037,0.013219483000057153,0.014543902000013986,3
small,filtered,sum_columns,pandas,0.00471980200006783,0.0037756899999976667,0.005276384000012513,3
small,filtered,value_counts,dask,0.019114820000027066,0.018978608999987046,0.021421765000013693,3
small,filtered,value_counts,joblib-pandas,0.013421210000046813,0.013240393999922162,0.015948298000012073,3
small,filtered,value_counts,pandas,0.0036403599999630387,0.0035948130000633682,0.004099186999951598,3
small,filtered_cached,count,dask,0.0032325299999911294,0.0030623599999444195,0.003689394999923934,3
small,filtered_cached,count,joblib-pandas,1.1116999985461007e-05,1.0405000011814991e-05,1.113600001190207e-05,3
small,filtered_cached,count,pandas,1.187700001992198e-05,1.0644999974829261e-05,1.4761999977963569e-05,3
small,filtered_cached,count_index,dask,0.0024471220000350513,0.002328816999920491,0.002847020999979577,3
small,filtered_cached,count_index,joblib-pandas,9.434000048713642e-06,8.823000030133699e-06,1.411000005191454e-05,3
small,filtered_cached,count_index,pandas,1.0654999982762092e-05,1.055500001712062e-05,1.154699998551223e-05,3
small,filtered_cached,groupby,dask,0.02295762599999307,0.022864212999934352,0.0231379779999088,3
small,filtered_cached,groupby,joblib-pandas,0.001792725000086648,0.001705275999938749,0.001958109000042896,3
small,filtered_cached,groupby,pandas,0.0018306810000012774,0.0017015499998933592,0.0019297970000025089,3
small,filtered_cached,join,dask,0.007626064000078259,0.006492736999916815,0.007795874999942498,3
small,filtered_cached,join,joblib-pandas,0.001018162000036682,0.0009996449999789547,0.0011387600000034581,3
small,filtered_cached,join,pandas,0.0010524829999667418,0.0010240410000506017,0.0011926890000495405,3
small,filtered_cached,join_count,dask,0.010955874000046606,0.010516385999949307,0.011848692999933519,3
small,filtered_cached,join_count,joblib-pandas,0.0011072329999706199,0.0011028870000018287,0.0013462260000096649,3
small,filtered_cached,join_count,pandas,0.0010377710000284424,0.000937692999968931,0.001471790999971745,3
